x,T_K,Dn_m2_per_s,Dp_m2_per_s
0.186558,323.15,4.000000e-15,4.000000e-15
0.191573,323.15,4.000000e-15,4.000000e-15
0.196588,323.15,4.000000e-15,4.000000e-15
0.201603,323.15,4.000000e-15,4.000000e-15
0.206618,323.15,4.000000e-15,4.000000e-15
0.211633,323.15,4.000000e-15,4.000000e-15
0.216648,323.15,4.000000e-15,4.000000e-15
0.221663,323.15,4.000000e-15,4.000000e-15
0.226678,323.15,4.000000e-15,4.000000e-15
0.231693,323.15,4.000000e-15,4.000000e-15
0.236709,323.15,4.000000e-15,4.000000e-15
0.241724,323.15,4.000000e-15,4.000000e-15
0.246739,323.15,4.000000e-15,4.000000e-15
0.251754,323.15,4.000000e-15,4.000000e-15
0.256769,323.15,4.000000e-15,4.000000e-15
0.261784,323.15,4.000000e-15,4.000000e-15
0.266799,323.15,4.000000e-15,4.000000e-15
0.271814,323.15,4.000000e-15,4.000000e-15
0.276829,323.15,4.000000e-15,4.000000e-15
0.281844,323.15,4.000000e-15,4.000000e-15
0.286859,323.15,4.000000e-15,4.000000e-15
0.291874,323.15,4.000000e-15,4.000000e-15
0.296889,323.15,4.000000e-15,4.000000e-15
0.301905,323.15,4.000000e-15,4.000000e-15
0.306920,323.15,4.000000e-15,4.000000e-15
0.311935,323.15,4.000000e-15,4.000000e-15
0.316950,323.15,4.000000e-15,4.000000e-15
0.321965,323.15,4.000000e-15,4.000000e-15
0.326980,323.15,4.000000e-15,4.000000e-15
0.331995,323.15,4.000000e-15,4.000000e-15
0.337010,323.15,4.000000e-15,4.000000e-15
0.342025,323.15,4.000000e-15,4.000000e-15
0.347040,323.15,4.000000e-15,4.000000e-15
0.352055,323.15,4.000000e-15,4.000000e-15
0.357070,323.15,4.000000e-15,4.000000e-15
0.362085,323.15,4.000000e-15,4.000000e-15
0.367101,323.15,4.000000e-15,4.000000e-15
0.372116,323.15,4.000000e-15,4.000000e-15
0.377131,323.15,4.000000e-15,4.000000e-15
0.382146,323.15,4.000000e-15,4.000000e-15
0.387161,323.15,4.000000e-15,4.000000e-15
0.392176,323.15,4.000000e-15,4.000000e-15
0.397191,323.15,4.000000e-15,4.000000e-15
0.402206,323.15,4.000000e-15,4.000000e-15
0.407221,323.15,4.000000e-15,4.000000e-15
0.412236,323.15,4.000000e-15,4.000000e-15
0.417251,323.15,4.000000e-15,4.000000e-15
0.422266,323.15,4.000000e-15,4.000000e-15
0.427281,323.15,4.000000e-15,4.000000e-15
0.432296,323.15,4.000000e-15,4.000000e-15
0.437312,323.15,4.000000e-15,4.000000e-15
0.442327,323.15,4.000000e-15,4.000000e-15
0.447342,323.15,4.000000e-15,4.000000e-15
0.452357,323.15,4.000000e-15,4.000000e-15
0.457372,323.15,4.000000e-15,4.000000e-15
0.462387,323.15,4.000000e-15,4.000000e-15
0.467402,323.15,4.000000e-15,4.000000e-15
0.472417,323.15,4.000000e-15,4.000000e-15
0.477432,323.15,4.000000e-15,4.000000e-15
0.482447,323.15,4.000000e-15,4.000000e-15
0.487462,323.15,4.000000e-15,4.000000e-15
0.492477,323.15,4.000000e-15,4.000000e-15
0.497492,323.15,4.000000e-15,4.000000e-15
0.502508,323.15,4.000000e-15,4.000000e-15
0.507523,323.15,4.000000e-15,4.000000e-15
0.512538,323.15,4.000000e-15,4.000000e-15
0.517553,323.15,4.000000e-15,4.000000e-15
0.522568,323.15,4.000000e-15,4.000000e-15
0.527583,323.15,4.000000e-15,4.000000e-15
