x,Up_V,Un_V,OCV_V
0.26147800,4.29955746,0.18803777,4.11151968
0.26197700,4.29796189,0.18771827,4.11024361
0.26247600,4.29636965,0.18739781,4.10897185
0.26297500,4.29478102,0.18707640,4.10770462
0.26347400,4.29319627,0.18675408,4.10644219
0.26397300,4.29161568,0.18643088,4.10518480
0.26447200,4.29003952,0.18610684,4.10393268
0.26497100,4.28846807,0.18578197,4.10268610
0.26547000,4.28690162,0.18545631,4.10144531
0.26596900,4.28534044,0.18512989,4.10021054
0.26646800,4.28378482,0.18480275,4.09898207
0.26696700,4.28223504,0.18447491,4.09776013
0.26746600,4.28069140,0.18414641,4.09654499
0.26796500,4.27915418,0.18381728,4.09533690
0.26846400,4.27762365,0.18348755,4.09413610
0.26896300,4.27610012,0.18315726,4.09294286
0.26946200,4.27458387,0.18282644,4.09175743
0.26996100,4.27307519,0.18249512,4.09058007
0.27046000,4.27157436,0.18216334,4.08941102
0.27095900,4.27008168,0.18183113,4.08825054
0.27145800,4.26859742,0.18149853,4.08709889
0.27195700,4.26712187,0.18116557,4.08595630
0.27245600,4.26565533,0.18083229,4.08482303
0.27295500,4.26419806,0.18049872,4.08369934
0.27345400,4.26275035,0.18016490,4.08258546
0.27395300,4.26131249,0.17983086,4.08148164
0.27445200,4.25988475,0.17949663,4.08038812
0.27495100,4.25846741,0.17916226,4.07930514
0.27545000,4.25706073,0.17882779,4.07823294
0.27594900,4.25566499,0.17849323,4.07717176
0.27644800,4.25428046,0.17815864,4.07612181
0.27694700,4.25290740,0.17782405,4.07508334
0.27744600,4.25154606,0.17748950,4.07405657
0.27794500,4.25019672,0.17715501,4.07304171
0.27844400,4.24885962,0.17682063,4.07203899
0.27894300,4.24753501,0.17648639,4.07104862
0.27944200,4.24622313,0.17615233,4.07007080
0.27994100,4.24492423,0.17581849,4.06910574
0.28044000,4.24363854,0.17548490,4.06815364
0.28093900,4.24236628,0.17515159,4.06721469
0.28143800,4.24110769,0.17481861,4.06628908
0.28193700,4.23986298,0.17448599,4.06537699
0.28243600,4.23863236,0.17415376,4.06447860
0.28293500,4.23741604,0.17382196,4.06359408
0.28343400,4.23621422,0.17349062,4.06272360
0.28393300,4.23502709,0.17315978,4.06186731
0.28443200,4.23385484,0.17282948,4.06102536
0.28493100,4.23269765,0.17249975,4.06019789
0.28543000,4.23155568,0.17217062,4.05938506
0.28592900,4.23042911,0.17184213,4.05858698
0.28642800,4.22931809,0.17151431,4.05780377
0.28692700,4.22822276,0.17118720,4.05703556
0.28742600,4.22714328,0.17086083,4.05628245
0.28792500,4.22607976,0.17053523,4.05554453
0.28842400,4.22503233,0.17021043,4.05482190
0.28892300,4.22400111,0.16988647,4.05411464
0.28942200,4.22298620,0.16956338,4.05342282
0.28992100,4.22198770,0.16924119,4.05274651
