coh_id,n1_bot,n2_bot,n4_top,n3_top,length,interface_type
353,4139,4140,34427,34428,1.645335707942125e-8,PE_PCC
354,4140,4141,34428,34429,1.6465872928528838e-8,PE_PCC
355,4141,4142,34429,34430,1.6478388782151645e-8,PE_PCC
356,4142,4143,34430,34431,1.649090464027852e-8,PE_PCC
357,4143,4144,34431,34432,1.6503420502899264e-8,PE_PCC
358,4144,4145,34432,34433,1.6515936370004452e-8,PE_PCC
359,4145,4146,34433,34434,1.65284522415814e-8,PE_PCC
360,4146,4147,34434,34435,1.654096811762246e-8,PE_PCC
361,4147,4148,34435,34436,1.6553483998116697e-8,PE_PCC
362,4148,4149,34436,34437,1.656599988305483e-8,PE_PCC
363,4149,4150,34437,34438,1.657851577242429e-8,PE_PCC
364,4150,4151,34438,34439,1.6591031666217558e-8,PE_PCC
365,4151,4152,34439,34440,1.6603547564423798e-8,PE_PCC
366,4152,4153,34440,34441,1.6616063467033008e-8,PE_PCC
367,4153,4154,34441,34442,1.662857937403617e-8,PE_PCC
368,4154,4155,34442,34443,1.6641095285420755e-8,PE_PCC
369,4155,4156,34443,34444,1.6653611201179407e-8,PE_PCC
370,4156,4157,34444,34445,1.666612712130153e-8,PE_PCC
371,4157,4158,34445,34446,1.6678643045778053e-8,PE_PCC
372,4158,4159,34446,34447,1.6691158974596673e-8,PE_PCC
373,4159,4160,34447,34448,1.6703674907750162e-8,PE_PCC
374,4160,4161,34448,34449,1.6716190845227956e-8,PE_PCC
375,4161,4162,34449,34450,1.672870678702037e-8,PE_PCC
376,4162,4163,34450,34451,1.6741222733118413e-8,PE_PCC
377,4163,4164,34451,34452,1.6753738683510145e-8,PE_PCC
378,4164,4165,34452,34453,1.676625463818833e-8,PE_PCC
379,4165,4166,34453,34454,1.677877059714253e-8,PE_PCC
380,4166,4167,34454,34455,1.6791286560364155e-8,PE_PCC
381,4167,4168,34455,34456,1.6803802527840945e-8,PE_PCC
382,4168,4169,34456,34457,1.681631849956608e-8,PE_PCC
383,4169,4170,34457,34458,1.682883447552912e-8,PE_PCC
384,4170,4171,34458,34459,1.684135045572167e-8,PE_PCC
385,4171,4172,34459,34460,1.6853866440131488e-8,PE_PCC
386,4172,4173,34460,34461,1.6866382428751938e-8,PE_PCC
387,4173,4174,34461,34462,1.6878898421572714e-8,PE_PCC
388,4174,4175,34462,34463,1.6891414418584524e-8,PE_PCC
389,4175,4176,34463,34464,1.690393041977889e-8,PE_PCC
390,4176,4177,34464,34465,1.691644642514392e-8,PE_PCC
391,4177,4178,34465,34466,1.692896243467297e-8,PE_PCC
392,4178,4179,34466,34467,1.6941478448356015e-8,PE_PCC
393,4179,4180,34467,34468,1.6953994466184655e-8,PE_PCC
394,4180,4181,34468,34469,1.6966510488147058e-8,PE_PCC
395,4181,4182,34469,34470,1.697902651423679e-8,PE_PCC
396,4182,4183,34470,34471,1.6991542544443844e-8,PE_PCC
397,4183,4184,34471,34472,1.7004058578759087e-8,PE_PCC
398,4184,4185,34472,34473,1.701657461717436e-8,PE_PCC
399,4185,4186,34473,34474,1.7029090659677993e-8,PE_PCC
400,4186,4187,34474,34475,1.7041606706263547e-8,PE_PCC
401,4187,4188,34475,34476,1.7054122756921262e-8,PE_PCC
402,4188,4189,34476,34477,1.706663881164297e-8,PE_PCC
403,4189,4190,34477,34478,1.7079154870417177e-8,PE_PCC
404,4190,4191,34478,34479,1.7091670933237547e-8,PE_PCC
405,4191,4192,34479,34480,1.710418700009435e-8,PE_PCC
406,4192,4193,34480,34481,1.711670307097873e-8,PE_PCC
407,4193,4194,34481,34482,1.7129219145882725e-8,PE_PCC
408,4194,4195,34482,34483,1.7141735224794928e-8,PE_PCC
409,4195,4196,34483,34484,1.7154251307709156e-8,PE_PCC
410,4196,4197,34484,34485,1.7166767394615805e-8,PE_PCC
411,4197,4198,34485,34486,1.717928348550703e-8,PE_PCC
412,4198,4199,34486,34487,1.7191799580371485e-8,PE_PCC
413,4199,4200,34487,34488,1.7204315679203107e-8,PE_PCC
414,4200,4201,34488,34489,1.721683178199242e-8,PE_PCC
415,4201,4202,34489,34490,1.722934788873073e-8,PE_PCC
416,4202,4203,34490,34491,1.7241863999410415e-8,PE_PCC
417,4203,4204,34491,34492,1.725438011402017e-8,PE_PCC
418,4204,4205,34492,34493,1.7266896232554125e-8,PE_PCC
419,4205,4206,34493,34494,1.7279412355002855e-8,PE_PCC
420,4206,4207,34494,34495,1.729192848135879e-8,PE_PCC
