capacity [A.h],voltage [V],temperature [K],temperature max [K]
2.2522916666666597,3.7165768455188277,301.31091115457394,301.9134310788921
2.2564583333333266,3.715790007167742,301.3127042749833,301.91581037807714
2.260624999999993,3.7150030410697794,301.3144923824664,301.9181834889497
2.2647916666666594,3.714215984144792,301.31627550532636,301.9205504442851
2.2689583333333263,3.7134288993342377,301.3180536717796,301.9229112767651
2.2731249999999927,3.7126418245823944,301.3198269099577,301.9252660189646
2.2772916666666596,3.7118548235524917,301.3215952479068,301.92761470339593
2.281458333333326,3.7110679350151887,301.32335871358896,301.9299573624651
2.285624999999993,3.710281223160538,301.32511733488224,301.93229402848726
2.28979166666666,3.709494727389827,301.3268711395814,301.9346247337147
2.293958333333326,3.7087085122274464,301.3286201553981,301.9369495102941
2.298124999999993,3.707922617512263,301.3303644099618,301.93926839028165
2.3022916666666595,3.7071371079135953,301.33210393082055,301.9415814056474
2.3064583333333264,3.706352023518195,301.3338387454404,301.94388858831167
2.310624999999993,3.705567428954471,301.3355688812068,301.9461899700669
2.3147916666666597,3.7047833643713037,301.3372943654252,301.9484855826185
2.318958333333326,3.7039998941745735,301.3390152253207,301.9507754576249
2.323124999999993,3.7032170583940434,301.34073148803935,301.9530596266415
2.3272916666666594,3.702434921036222,301.3424431806481,301.955338121127
2.3314583333333263,3.7016535218355875,301.3441503301357,301.9576109724721
2.3356249999999927,3.7008729242277956,301.3458529634131,301.9598782120028
2.3397916666666596,3.7000931674815765,301.3475511073141,301.96213987094296
2.343958333333326,3.6993143142961693,301.3492447885952,301.96439598042167
2.348124999999993,3.698536403310288,301.3509340339367,301.9666465715126
2.35229166666666,3.697759496327667,301.35261886994346,301.9688916752158
2.356458333333326,3.6969836311995,301.3542993231438,301.97113132243436
2.360624999999993,3.696208868681893,301.35597541999147,301.97336554398896
2.3647916666666595,3.6954352456882265,301.35764718686653,301.9755943706371
2.3689583333333264,3.6946628217823427,301.3593146500743,301.9778178330552
2.3731249999999924,3.6938916327972096,301.3609778358471,301.98003596183804
2.3772916666666593,3.693121736967623,301.36263677034395,301.98224878749875
2.3814583333333257,3.6923531689116738,301.3642914796511,301.9844563404947
2.3856249999999926,3.6915859854065682,301.36594198978355,301.98665865118653
2.389791666666659,3.690820219729512,301.3675883266837,301.98885574986326
2.393958333333326,3.690055927080236,301.3692305162233,301.99104766674304
2.3981249999999923,3.6892931392777992,301.37086858420395,301.993234431963
2.402291666666659,3.688531909833441,301.37250255635587,301.9954160756049
2.4064583333333256,3.687772268999863,301.3741324583403,301.9975926276793
2.4106249999999925,3.6870142684978973,301.37575831574924,301.999764118113
2.414791666666659,3.686257936914886,301.377380154106,302.00193057674846
2.4189583333333258,3.6855033240886677,301.3789979988649,302.0040920333587
2.423124999999992,3.6847504568515785,301.3806118754134,302.00624851766355
2.427291666666659,3.68399938307522,301.38222180907064,302.0084000592998
2.431458333333326,3.6832501277567586,301.3838278250892,302.01054668783036
2.4356249999999924,3.6825027367277707,301.3854299486552,302.012688432777
2.4397916666666593,3.6817572330795363,301.38702820488885,302.01482532355743
2.4439583333333257,3.681013660539256,301.3886226188445,302.0169573895229
2.4481249999999926,3.680272040231034,301.3902132155114,302.0190846599945
2.452291666666659,3.6795324137227317,301.3918000198144,302.0212071641951
2.456458333333326,3.67879480011933,301.3933830566141,302.023324931267
